City,Location_Info,State,District,Subdistrict,Division,Union_Territory,Autonomous_Division
Kozhikode,"['Kozhikode', 'Kozhikode District', 'Kerala', '673001', 'India']",,Kozhikode District,,,,
TIS Hazari,"['Tis Hazari', 'Tis Hazari Metro Station', 'Lala Hardev Sahai Marg', 'Civil Lines', 'Civil Lines Tehsil', 'Central Delhi District', 'Delhi', '110006', 'India']",,Central Delhi District,,,,
Giridih,['Could not find data'],,,,,,
"Calcutta, Chennai",['Could not find data'],,,,,,
"Madras, New Delhi",['Could not find data'],,,,,,
Gobichettipalayam,"['Gobichettipalayam', 'Erode District', 'Tamil Nadu', 'India']",,Erode District,,,,
Alipur,"['Alipur', 'Jaynagar - I', 'South 24 Parganas District', 'West Bengal', '743337', 'India']",,South 24 Parganas District,,,,
Avanigadda,"['Avanigadda', 'Krishna District', 'Andhra Pradesh', '521121', 'India']",,Krishna District,,,,
Shimla,"['Shimla', 'Shimla (urban)', 'Shimla District', 'Himachal Pradesh', '171001', 'India']",,Shimla District,,,,
Secunderabad Cantonment,['Could not find data'],,,,,,
Ind,"['Atotech', 'India', 'Jigani Link Road', 'Bommasandra Industrial Estate', 'Yarandahalli', 'Jigani', 'Anekal', 'Bengaluru Urban District', 'Karnataka', '560099', 'India']",,Bengaluru Urban District,,,,
Dwarka Courts,['Could not find data'],,,,,,
Pattambi,"['Pattambi', 'Palakkad District', 'Kerala', 'India']",,Palakkad District,,,,
Gandevi,"['Gandevi', 'NH360', 'Gandevi Taluka', 'Navsari District', 'Gujarat', '396380', 'India']",,Navsari District,,,,
Erode,"['Erode', 'Erode District', 'Tamil Nadu', 'India']",,Erode District,,,,
Chikhli,"['Chikhli', 'Chikhli Taluka', 'Navsari District', 'Gujarat', '396521', 'India']",,Navsari District,,,,
Sid,['Could not find data'],,,,,,
Thiruvananthapuram,"['Thiruvananthapuram', 'Thiruvananthapuram District', 'Kerala', '695001', 'India']",,Thiruvananthapuram District,,,,
Nash,['Could not find data'],,,,,,
Dam,"['Berkeley County', 'South Carolina', 'United States', 'Lake Legendre Dam D-3478']",United States,,,,,
